accountant [əˈkaʊntənt] | kế toán viên
actor [ˈæktər] | diễn viên
architect [ˈɑːrkɪtɛkt] | kiến trúc sư
artist [ˈɑːrtɪst] | nghệ sĩ
babysitter [ˈbeɪbiˌsɪtər] | người trông trẻ
banker [ˈbæŋkər] | ngân hàng viên
barber [ˈbɑːrbər] | thợ cắt tóc
barista [bəˈriːstə] | người pha cà phê
caretaker [ˈkɛrˌteɪkər] | người trông nom
carpenter [ˈkɑːrpəntər] | thợ mộc
cashier [kæˈʃɪər] | thu ngân
chef [ʃɛf] | đầu bếp
cleaner [ˈkliːnər] | người lau dọn
clerk [klɜːrk] | thư ký
coach [koʊtʃ] | HLV
consultant [kənˈsʌltənt] | tư vấn
coroner [ˈkɒrənər] | bác sĩ phân tích tử thi
counselor [ˈkaʊnsələr] | tư vấn tâm lý
court reporter [kɔrt rɪˈpɔrtər] | phóng viên tòa án
dentist [ˈdɛntɪst] | nha sĩ
designer [dɪˈzaɪnər] | nhà thiết kế
detective [dɪˈtɛktɪv] | thám tử
doctor [ˈdɒktər] | bác sĩ
driver [ˈdraɪvər] | tài xế
electrician [ɪˌlɛkˈtrɪʃən] | thợ điện
engineer [ˌɛndʒɪˈnɪr] | kỹ sư
entrepreneur [ˌɒntrəprəˈnɜːr] | doanh nhân
farmer [ˈfɑːrmər] | nông dân
firefighter [ˈfaɪərˌfaɪtər] | lính cứu hỏa
flight attendant [flaɪt əˈtɛndənt] | tiếp viên hàng không
gardener [ˈɡɑːrdnər] | người làm vườn
hairdresser [ˈhɛrˌdrɛsər] | thợ làm tóc
janitor [ˈdʒænɪtər] | người giữ gìn vệ sinh
journalist [ˈdʒɜːrnəlɪst] | nhà báo
judge [dʒʌdʒ] | thẩm phán
lawyer [ˈlɔɪər] | luật sư
librarian [laɪˈbrɛəriən] | thủ thư
lifeguard [ˈlaɪfɡɑːrd] | nhân viên cứu hộ
manager [ˈmænɪdʒər] | quản lý
mechanic [məˈkænɪk] | thợ máy
musician [mjuˈzɪʃən] | nhạc sĩ
nanny [ˈnæni] | người giữ trẻ
nurse [nɜːrs] | y tá
optician [ɒpˈtɪʃən] | người làm kính
paralegal [ˈpærəˌliːɡəl] | trợ lý pháp lý
paramedic [ˌpærəˈmɛdɪk] | nhân viên cấp cứu
photographer [fəˈtɒɡrəfər] | nhiếp ảnh gia
pilot [ˈpaɪlət] | phi công
planner [ˈplænər] | người lập kế hoạch
plumber [ˈplʌmər] | thợ sửa ống nước
police [pəˈliːs] | cảnh sát
police officer [pəˈliːs ˈɔːfɪsər] | cảnh sát viên
programmer [ˈproʊˌɡræmər] | lập trình viên
psychiatrist [saɪˈkaɪətrɪst] | bác sĩ tâm lý
psychologist [saɪˈkɒlədʒɪst] | nhà tâm lý học
receptionist [rɪˈsɛpʃənɪst] | lễ tân
salesperson [seɪlzˈpɜːrsən] | nhân viên bán hàng
scientist [ˈsaɪəntɪst] | nhà khoa học
secretary [ˈsɛkrəˌtɛri] | thư ký
security guard [sɪˈkjʊrəti ɡɑːrd] | bảo vệ
singer [ˈsɪŋər] | ca sĩ
social worker [ˈsoʊʃəl ˈwɜːrkər] | nhân viên xã hội
tailor [ˈteɪlər] | thợ may
teacher [ˈtiːʧər] | giáo viên
translator [trænsˈleɪtər] | người dịch
veterinarian [ˌvɛtərɪˈnɛəriən] | bác sĩ thú y
waiter [ˈweɪtər] | người phục vụ
waitress [ˈweɪtrɪs] | người phục vụ (nữ)
web developer [wɛb dɪˈvɛləpər] | nhà phát triển web
writer [ˈraɪtər] | nhà văn
