Acid Rain [ˈæsɪd reɪn] | Mưa axit
Air Pollution [ɛr pəˈluːʃən] | Ô nhiễm không khí
Air Quality [ɛr ˈkwɑːləti] | Chất lượng không khí
Air [ɛr] | Không khí
Animal [ˈænɪməl] | Động vật
Biodiversity [ˌbaɪoʊdaɪˈvɜːrsəti] | Đa dạng sinh học
Bird [bɜːrd] | Chim
Butterfly [ˈbʌtərflaɪ] | Bướm
Carbon Footprint ['kɑrbən ˈfʊtprɪnt] | Dấu chân carbon
Carbon Footprint [ˈkɑːrbən ˈfʊtˌprɪnt] | Dấu chân carbon
Chemical Spills [ˈkɛmɪkəl spɪlz] | Sự cố rò rỉ hóa chất
Clean Energy [kliːn ˈɛnərdʒi] | Năng lượng sạch
Climate [ˈklaɪmət] | Khí hậu
Conservation Area [ˌkɑːnsərˈveɪʃən ˈɛriə] | Khu bảo tồn
Conservation [ˌkɑːnsərˈveɪʃən] | Bảo tồn
Conservationist [ˌkɑːnsərˈveɪʃənɪst] | Nhà bảo tồn môi trường
Deforestation [ˌdiːˌfɔrɪˈsteɪʃən] | Phá rừng
Desert [ˈdezərt] | Sa mạc
Dirty Air [ˈdɜːrti ɛr] | Không khí bẩn
Dolphin [ˈdɒlfɪn] | Cá heo
E-waste [iː weɪst] | Chất thải điện tử
Earth [ɜrθ] | Trái đất
Earthquake [ˈɜːrθˌkweɪk] | Động đất
Eco-friendly ['ɛkoʊˈfrɛndli] | Thân thiện với môi trường
Ecological [ˌiːkəˈlɑdʒɪkəl] | Sinh thái học
Ecosystem ['iːkoʊsɪstəm] | Hệ sinh thái
Elephant [ˈɛlɪfənt] | Voi
Endangered Species [ˌɛndənˈdʒərd ˈspiːʃiz] | Loài đang bị đe dọa
Environment [ɪnˈvaɪrənmənt] | Môi trường
Environmental Impact [ɪnˌvaɪrənˈmɛntəl ˈɪmpækt] | Tác động môi trường
Environmental [ɪnˌvaɪrənˈmɛntəl] | Về môi trường
Factory Smoke [ˈfæktəri smoʊk] | Khói nhà máy
Fish [fɪʃ] | Cá
Flower [ˈflaʊər] | Hoa
Forest ['fɔrɪst] | Rừng
Frog [frɒɡ] | Ếch
Giraffe [dʒɪˈræf] | Hươu cao cổ
Global Warming ['ɡloʊbl ˈwɔːrmɪŋ] | Sự nóng lên toàn cầu
Gorilla [ɡəˈrɪlə] | Gô-ri-la
Green Living [ɡriːn ˈlɪvɪŋ] | Sống xanh
Green [ɡriːn] | Xanh lá cây
Greenery [ˈɡriːnəri] | Cây xanh
Greenhouse Gas ['ɡrinˌhaʊs ɡæs] | Khí nhà kính
Habitat ['hæbɪtæt] | Môi trường sống
Horse [hɔːrs] | Ngựa
Insect [ˈɪnsɛkt] | Côn trùng
Kangaroo [ˌkæŋɡəˈru] | Kangaroo
Lake [leɪk] | Hồ
Land Degradation [lænd ˌdɛɡrəˈdeɪʃən] | Sự suy thoái đất đai
Land [lænd] | Đất đai
Landfills [ˈlændfɪlz] | Bãi rác
Lion [ˈlaɪən] | Sư tử
Littering [ˈlɪtərɪŋ] | Việc vứt rác bừa bãi
Marine Life [məˈriːn laɪf] | Đời sống biển
Monkey [ˈmʌŋki] | Khỉ
Moon [muːn] | Mặt trăng
Mountain [ˈmaʊntən] | Núi
Natural Resources ['nætʃərəl rɪˈsɔːrsɪz] | Tài nguyên thiên nhiên
Nature ['neɪtʃər] | Tự nhiên
Noise Pollution [nɔɪz pəˈluːʃən] | Ô nhiễm tiếng ồn
Non-renewable [nɑːn rɪˈnuːəbl] | Không tái tạo
Nuclear Contamination [ˈnukliər kənˌtæməˈneɪʃən] | Ô nhiễm hạt nhân
Ocean ['oʊʃən] | Đại dương
Oil Spill [ɔɪl spɪl] | Sự cố tràn dầu
Owl [aʊl] | Dế
Ozone Layer ['oʊzoʊn ˈleɪər] | Tầng ozone
Panda [ˈpændə] | Gấu trúc
Penguin [ˈpɛŋɡwɪn] | Chim cánh cụt
Pesticide Runoff [ˈpɛstɪˌsaɪd ˈrʌnɔf] | Chất trừ sâu rửa trôi
Plant [plænt] | Cây cỏ
Plastic Waste [ˈplæstɪk weɪst] | Chất thải nhựa
Poisonous Water [ˈpɔɪzənəs ˈwɔːtər] | Nước độc hại
Polar Ice [ˈpoʊlər aɪs] | Băng tuyết cực Bắc và cực Nam
Pollution [pəˈluːʃən] | Ô nhiễm
Radioactive Waste [ˌreɪdiəˈækˌtɪv weɪst] | Chất thải phóng xạ
Rain [reɪn] | Mưa
Rainforest [ˈreɪnˌfɔːrɪst] | Rừng mưa
Recycling [riːˈsaɪklɪŋ] | Tái chế
Renewable Energy [rɪˈnjuːəbl ˈɛnərdʒi] | Năng lượng tái tạo
Renewable [rɪˈnuːəbl] | Tái tạo
River [ˈrɪvər] | Sông
Sky [skaɪ] | Bầu trời
Smog [smɑːɡ] | Sương mù đô thị
Soil Contamination [sɔɪl kənˌtæmɪˈneɪʃən] | Ô nhiễm đất đai
Soil [sɔɪl] | Đất
Squirrel [ˈskwɜːrəl] | Sóc
Star [stɑːr] | Ngôi sao
Storm [stɔːrm] | Bão
Sun [sʌn] | Mặt trời
Sunshine [ˈsʌnʃaɪn] | Ánh nắng mặt trời
Sustainability [səˌsteɪnəˈbɪləti] | Bền vững
Sustainable [səˈsteɪnəbl] | Bền vững
Tiger [ˈtaɪɡər] | Hổ
Toxic Chemicals [ˈtɒksɪk ˈkɛmɪkəlz] | Hóa chất độc hại
Traffic Fumes [ˈtræfɪk fjuːmz] | Khói xe cộ
Tsunami [suˈnɑːmi] | Sóng thần
Vehicle Emissions [ˈviːɪkl ɪˈmɪʃənz] | Khí thải từ phương tiện giao thông
Volcano [vɑːlˈkeɪnoʊ] | Núi lửa
Waste Management [weɪst ˈmænɪdʒmənt] | Quản lý chất thải
Waste [weɪst] | Chất thải
Water Conservation ['wɔtər ˌkɑːnsərˈveɪʃən] | Bảo tồn nước
Water Pollution [ˈwɔːtər pəˈluːʃən] | Ô nhiễm nước
Water [ˈwɔːtər] | Nước
Weather [ˈwɛðər] | Thời tiết
Whale [weɪl] | Cá voi
Wildlife ['waɪldlaɪf] | Động vật hoang dã
Wind [wɪnd] | Gió
Zebra [ˈziːbrə] | Ngựa vằn
