achievement [əˈtʃiːvmənt] | thành tích
art [ɑrt] | mỹ thuật
assignment [əˈsaɪnmənt] | bài tập
backpack [ˈbækpæk] | cặp sách
break [breɪk] | giờ nghỉ
break time [breɪk taɪm] | giờ nghỉ
bus [bʌs] | xe buýt
bus stop [bʌs stɒp] | trạm xe buýt
cafeteria [ˌkæfəˈtɪəriə] | nhà hàng tự phục vụ
chalkboard [ˈtʃɔːkbɔːrd] | bảng đen
discussion [dɪˈskʌʃən] | thảo luận
party [ˈpɑːrti] | bữa tiệc
presentation [ˌprɛzənˈteɪʃən] | bài thuyết trình
representative [ˌrɛprɪˈzɛntətɪv] | đại diện
schedule [ˈʃɛdjuːl] | lịch học
classmate [ˈklæsmeɪt] | bạn cùng lớp
classroom [ˈklæsruːm] | phòng học
activities [ækˈtɪvətiz] | hoạt động
management [ˈmænɪdʒmənt] | sự quản lý
rules [ruːlz] | quy tắc
computer [kəmˈpjuːtər] | máy tính
creativity [ˌkriːeɪˈtɪvəti] | sáng tạo
curiosity [ˌkjʊərɪˈɒsəti] | tò mò
curriculum [kəˈrɪkjələm] | chuẩn giáo dục
discipline [ˈdɪsəplɪn] | kỷ luật
education [ˌɛdʒʊˈkeɪʃən] | giáo dục
eraser [ɪˈreɪsər] | cục tẩy
exam [ɪɡˈzæm] | kỳ thi
excursion [ɪkˈskɜːrʒən] | chuyến tham quan
extracurricular [ˌɛkstrəkəˈrɪkjʊlər] | hoạt động ngoại khóa
field trip [fiːld trɪp] | chuyến đi thực tế
friendship [ˈfrɛndʃɪp] | tình bạn
geography [dʒiˈɒɡrəfi] | địa lý
grade [ɡreɪd] | điểm số
graduation [ˌɡrædʒuˈeɪʃən] | lễ tốt nghiệp
ceremony [ˈsɛrəmoʊni] | lễ kỷ niệm
group work [ɡruːp wɜːrk] | làm việc nhóm
history [ˈhɪstəri] | lịch sử
homeroom [ˈhoʊmruːm] | lớp chủ nhiệm
homework [ˈhoʊmwɜːrk] | bài tập về nhà
knowledge [ˈnɒlɪdʒ] | kiến thức
language [ˈlæŋɡwɪdʒ] | ngôn ngữ
learn [lɜːrn] | học
materials [məˈtɪriəlz] | tài liệu
library [ˈlaɪbrəri] | thư viện
lunch [lʌntʃ] | bữa trưa
lunch break [lʌntʃ breɪk] | giờ nghỉ trưa
lunch menu [lʌntʃ ˈmɛnjuː] | thực đơn trưa
math class [mæθ klæs] | giờ toán
mathematics [ˌmæθəˈmætɪks] | toán học
music [ˈmjuzɪk] | âm nhạc
notebook [ˈnoʊtbʊk] | sổ tay
pencil [ˈpɛnsəl] | bút chì
pencil case [ˈpɛnsəl keɪs] | hộp bút
play [pleɪ] | chơi
playground [ˈpleɪɡraʊnd] | sân chơi
principal [ˈprɪnsəpl] | hiệu trưởng
project [ˈprɒdʒɛkt] | dự án
reading [ˈriːdɪŋ] | đọc sách
recess [ˈriːsɪs] | giờ giải lao
report card [rɪˈpɔːrt kɑːrd] | bảng điểm
respect [rɪˈspɛkt] | tôn trọng
responsibility [rɪˌspɒnsəˈbɪləti] | trách nhiệm
school [skuːl] | trường học
assembly [əˈsɛmbli] | buổi tập trung
bell [bɛl] | chuông
board [bɔːrd] | hội đồng quản trị
club [skuːl klʌb] | câu lạc bộ
competition [ˌkɒmpɪˈtɪʃən] | cuộc thi
director [dɪˈrɛktər] | người quản lý
environment [ɪnˈvaɪrənmənt] | môi trường
event [ɪˈvɛnt] | sự kiện
facilities [fəˈsɪlɪtiz] | cơ sở vật chất
school hours [skuːl aʊrz] | giờ học
policy [ˈpɒləsi] | chính sách
program [ˈproʊɡræm] | chương trình học
project [ˈprɒdʒɛkt] | dự án
school supplies [skuːl səˈplaɪz] | vật dụng học tập
school year [skuːl jɪr] | năm học
science [ˈsaɪəns] | khoa học
lab [læb] | phòng thí nghiệm
sports [spɔrts] | thể thao
sports day [spɔrts deɪ] | ngày thể thao
student [ˈstjuːdənt] | học sinh
council [ˈkaʊnsl] | hội đồng
student life [ˈstjuːdənt laɪf] | cuộc sống học sinh
study [ˈstʌdi] | nghiên cứu
subject [ˈsʌbdʒɪkt] | môn học
teacher [ˈtiːtʃər] | giáo viên
desk [dɛsk] | bàn
teaching method [ˈtiːʧɪŋ ˈmɛθəd] | phương pháp giảng dạy
teamwork [ˈtiːmwɜːrk] | làm việc nhóm
uniform [ˈjuːnɪfɔːrm] | đồng phục
writing [ˈraɪtɪŋ] | viết
