apple    quả táo
banana    quả chuối
cat    mèo
dog    chó
house    nhà
table    bàn
chair    ghế
red    màu đỏ
blue    màu xanh dương
green    màu xanh lá cây
yellow    màu vàng
orange    màu cam
book    sách
pen    bút
computer    máy tính
keyboard    bàn phím
mouse    chuột máy tính
phone    điện thoại
window    cửa sổ
door    cửa
teacher    giáo viên
student    học sinh
university    trường đại học
restaurant    nhà hàng
food    đồ ăn
water    nước
coffee    cà phê
flower    hoa
garden    vườn
car    xe hơi
bike    xe đạp
airplane    máy bay
train    xe lửa
bus    xe buýt
tree    cây
mountain    núi
river    sông
beach    bãi biển
cloud    mây
sun    mặt trời
moon    mặt trăng
star    ngôi sao
music    nhạc
movie    phim
television    điện thoại
school    trường học
hospital    bệnh viện
park    công viên
family    gia đình
friend    bạn
birthday    sinh nhật
holiday    kỳ nghỉ
city    thành phố
country    đất nước
language    ngôn ngữ
computer    máy tính
internet    mạng internet
shirt    áo sơ mi
pants    quần
shoes    giày
hat    mũ
jacket    áo khoác
socks    tất
dress    đầm
guitar    gi-ta
violin    vi-ô-lông
piano    dương cầm
horse    ngựa
cow    bò
sheep    cừu
elephant    voi
lion    sư tử
tiger    hổ
zebra    ngựa vằn
giraffe    hươu cao cổ
snake    rắn
fish    cá
whale    cá voi
dolphin    cá heo
butterfly    bướm
bee    ong
ant    kiến
spider    người máy
bird    chim
eagle    đại bàng
ocean    đại dương
mountain    núi
forest    rừng
desert    sa mạc
lake    hồ
river    sông
waterfall    thác nước
volcano    núi lửa
flower    cây hoa
grass    cỏ
sky    bầu trời
earth    trái đất
moon    mặt trăng
sun    mặt trời
wind    gió
rain    mưa
snow    tuyết
ice    băng
fire    lửa
beach    bãi biển
island    hòn đảo
city    thành phố
town    thị trấn
village    ngôi làng
road    con đường
street    đường phố
bridge    cây cầu
river    sông
lake    hồ
ocean    đại dương
mountain    núi
hill    núi đồi
valley    thung lũng
forest    rừng
jungle    rừng nhiệt đới
desert    sa mạc
canyon    hẻm núi
waterfall    thác nước
cave    hàng động
beach    bãi biển
sand    cát
rock    đá
stone    hòn đá
cliff    vách đá
flower    cây hoa
rose    hoa hồng
tulip    hoa tulip
daisy    cúc dại
lily    hoa ly
sunflower    hoa hướng dương
orchid    hoa lan
palm    cây cọ
pine    cây thông
oak    cây sồi
maple    cây phong
willow    cây liễu
birch    cây bạch đàn
fir    cây thông tuyết
cedar    cây tuya
cypress    cây sồi
olive    cây ôliu
acacia    cây keo
lotus    hoa sen
peony    hoa mẫu đơn
magnolia    hoa mộc lan
