bake [beɪk] | nướng
beef [biːf] | bò
bitter [ˈbɪtər] | đắng
boil [bɔɪl] | luộc
bread [brɛd] | bánh mì
buffet [bʌˈfeɪ] | đám tiệc tự chọn
butter [ˈbʌtər] | bơ
catering [ˈkeɪtərɪŋ] | dịch vụ tổ chức tiệc
cheese [ʧiːz] | phô mai
chicken [ˈʧɪkɪn] | gà
chocolate [ˈʧɒklɪt] | sô cô la
coffee [ˈkɒfi] | cà phê
cold [koʊld] | lạnh
condiment [ˈkɒndɪmənt] | gia vị
cooking show [ˈkʊkɪŋ ʃoʊ] | chương trình nấu ăn
creamy [ˈkriːmi] | kem
crispy [ˈkrɪspi] | giòn
crunchy [ˈkrʌntʃi] | giòn
culinary arts [ˈkʌlɪnəri ɑrts] | nghệ thuật ẩm thực
curry [ˈkʌri] | cà ri
dairy-free [ˈdɛriˌfriː] | không chứa sữa
delicious [dɪˈlɪʃəs] | ngon miệng
dessert [dɪˈzɜːrt] | tráng miệng
egg [ɛɡ] | trứng
fast food [fæst fuːd] | đồ ăn nhanh
fish [fɪʃ] | cá
flavor [ˈfleɪvər] | hương vị
flavorful [ˈfleɪvərfəl] | thơm ngon
food blogger [fuːd ˈblɒɡər] | người viết blog về ẩm thực
food critic [fuːd ˈkrɪtɪk] | nhà phê bình ẩm thực
food festival [fuːd ˈfɛstɪvəl] | hội chợ ẩm thực
foodie [ˈfuːdi] | người sành ăn
fresh [frɛʃ] | tươi
fruit [fruːt] | trái cây
fry [fraɪ] | chiên
gluten-free [ˈɡluːtənˌfriː] | không chứa gluten
gourmet [ˌɡʊrˈmeɪ] | thực phẩm cao cấp
grill [ɡrɪl] | nướng
hamburger [ˈhæmbɜːrɡər] | hamburger
homemade [ˌhoʊmˈmeɪd] | làm tại nhà
hot [hɒt] | nóng
ice cream [aɪs kriːm] | kem
juice [dʒuːs] | nước ép
local [ˈloʊkl] | địa phương
local produce [ˈloʊkl ˈprɒdjuːs] | sản phẩm địa phương
meat [miːt] | thịt
menu [ˈmɛnjuː] | thực đơn
mild [maɪld] | nhẹ
milk [mɪlk] | sữa
noodle [ˈnuːdl] | mì
nutritious [nuːˈtrɪʃəs] | dinh dưỡng
organic [ɔrˈɡænɪk] | hữu cơ
pizza [ˈpiːtsə] | pizza
pork [pɔːrk] | lợn
ramen [ˈrɑːmən] | mì ramen
recipe [ˈrɛsəpi] | công thức nấu ăn
rice [raɪs] | cơm
rich [rɪʧ] | đậm đà
ripe [raɪp] | chín
roast [roʊst] | quay
salad [ˈsæləd] | salad
sandwich [ˈsændwɪʧ] | bánh mì kẹp
sauce [sɔːs] | sốt
saute [soʊˈteɪ] | xào
savory [ˈseɪvəri] | mặn
smooth [smuːð] | mịn
snack [snæk] | đồ ăn nhẹ
soda [ˈsoʊdə] | nước ngọt
soup [suːp] | súp
sour [saʊr] | chua
spaghetti [spəˈɡɛti] | spaghetti
spice [spaɪs] | gia vị
spicy [ˈspaɪsi] | cay
steak [steɪk] | bít tết
steam [stiːm] | hấp
stir-fry [stɜːr fraɪ] | xào
street food [striːt fuːd] | đồ ăn đường phố
sushi [ˈsuːʃi] | sushi
sustainable [səˈsteɪnəbl] | bền vững
sweet [swiːt] | ngọt
tasty [ˈteɪsti] | ngon
tea [tiː] | trà
vegan [ˈviːɡən] | ăn chay
vegetables [ˈvɛdʒtəbəlz] | rau củ
vegetarian [ˌvɛdʒəˈtɛriən] | chay
water [ˈwɔːtər] | nước
yogurt [ˈjoʊɡərt] | sữa chua
